Fix,GPS,-33.9178733333,151.2278666667,54.2,1.2456278,4.64679,83.41,1678265309000,0.3408959,0.14645405,1162334694854544,13.585
Fix,GPS,-33.9178733333,151.2278800000,53.900000000000006,1.2662166,4.474909,89.24,1678265310000,0.3104094,0.13547938,1162335713725533,12.755
Fix,GPS,-33.9178750000,151.2278933333,53.599999999999994,1.3073944,4.516609,88.48,1678265311000,0.36444068,0.14812459,1162336711041730,12.837
Fix,GPS,-33.9178750000,151.2279083333,53.2,1.3485723,4.4407763,100.57,1678265312000,0.29562983,0.11828215,1162337688353969,12.649
Fix,GPS,-33.9178766667,151.2279216667,52.9,1.3537195,4.5393863,103.58,1678265313000,0.2948525,0.117680244,1162338691681729,13.077
Fix,GPS,-33.9178800000,151.2279350000,52.8,1.3485723,4.410503,101.14,1678265314000,0.28595454,0.13226555,1162339699781000,12.754
Fix,GPS,-33.9178800000,151.2279483333,52.7,1.3382778,4.436724,92.38,1678265315000,0.39614645,0.21253115,1162340695200218,12.663
Fix,GPS,-33.9178783333,151.2279616667,52.4,1.3228362,4.464105,90.24,1678265316000,0.31162316,0.16193391,1162341710853655,12.865
Fix,GPS,-33.9178800000,151.2279750000,52.3,1.3022472,4.4578156,101.6,1678265317000,0.31560102,0.14671788,1162342712008030,12.694
Fix,NLP,-33.9175690000,151.2277120000,,,15.0,,1678265318241,,,1162342847192509,
Fix,GPS,-33.9178800000,151.2279883333,52.2,1.2971,4.5494246,93.35,1678265318000,0.33845678,0.19565032,1162343696812457,12.917
Fix,GPS,-33.9178800000,151.2280033333,52.099999999999994,1.3022472,4.292465,103.15,1678265319000,0.28016603,0.13126642,1162344690049123,12.414
Fix,GPS,-33.9178816667,151.2280183333,52.2,1.3073944,4.3192234,99.47,1678265320000,0.28640008,0.12891354,1162345694632352,12.629
Fix,GPS,-33.9178866667,151.2280333333,52.099999999999994,1.3125417,4.308503,107.12,1678265321000,0.30378446,0.14288105,1162346700568549,12.377
Fix,GPS,-33.9178933333,151.2280466667,52.099999999999994,1.3073944,4.415342,114.3,1678265322000,0.34109384,0.14086445,1162347695108549,12.606
Fix,GPS,-33.9178983333,151.2280600000,52.0,1.3073944,4.3187656,115.47,1678265323000,0.32267168,0.15310928,1162348707062819,12.376
Fix,GPS,-33.9179033333,151.2280716667,52.0,1.3228362,4.369237,123.06,1678265324000,0.34085187,0.19482377,1162349701167246,12.514
Fix,GPS,-33.9179100000,151.2280833333,52.099999999999994,1.3382778,4.4121947,123.18,1678265325000,0.35592836,0.18170147,1162350703240319,12.753
Fix,GPS,-33.9179183333,151.2280950000,52.099999999999994,1.343425,4.3983717,127.92,1678265326000,0.32330325,0.16636056,1162351692551881,12.409
